366, 919
16, 918
316, 885
267, 851
664, 848
612, 818
220, 815
166, 786
563, 782
517, 750
115, 753
68, 720
466, 715
18, 685
795, 683
420, 685
364, 649
741, 649
689, 615
315, 615
637, 581
266, 586
592, 545
216, 548
167, 516
919, 514
537, 513
118, 484
867, 480
485, 480
817, 452
70, 446
438, 436
382, 412
772, 413
17, 413
720, 382
331, 376
277, 342
671, 346
620, 316
229, 305
568, 281
177, 270
921, 264
521, 249
123, 240
872, 229
473, 215
75, 202
821, 198
422, 182
22, 167
773, 165
374, 146
723, 131
324, 113
672, 98
274, 82
624, 65
223, 50
573, 30
923, 16
